GAME_DATE,HOME_TEAM_ID,HOME_TEAM_NAME,_2pointer_PCT_HOME,_3pointer_PCT_HOME,FreeThrow_PCT_HOME,Assists_HOME,Rebounds_HOME,VISITOR_TEAM_ID,VISITOR_TEAM_NAME,_2pointer_PCT_AWAY,_3pointer_PCT_AWAY,FreeThrow_PCT_AWAY,Assists_AWAY,Rebounds_AWAY,HOME_TEAM_WINS
2004-04-04,1610612761,Raptors,0.413,0.263,0.8,16.0,42.0,1610612749,Bucks,0.455,0.333,0.857,10.0,44.0,0
2004-04-04,1610612760,Thunder,0.461,0.364,0.667,22.0,43.0,1610612740,Pelicans,0.359,0.24,0.839,19.0,42.0,1
2004-04-04,1610612751,Nets,0.537,0.474,0.643,36.0,44.0,1610612737,Hawks,0.394,0.316,0.844,20.0,31.0,1
2004-04-03,1610612739,Cavaliers,0.37,0.364,0.8,17.0,47.0,1610612744,Warriors,0.536,0.333,0.714,23.0,39.0,0
2004-04-03,1610612742,Mavericks,0.61,0.417,0.824,37.0,42.0,1610612756,Suns,0.446,0.409,0.75,24.0,41.0,1
2004-04-03,1610612741,Bulls,0.345,0.2,0.833,21.0,44.0,1610612748,Heat,0.398,0.292,0.833,25.0,56.0,0
2004-04-03,1610612757,Trail Blazers,0.4,0.111,0.75,18.0,44.0,1610612740,Pelicans,0.486,0.333,1.0,24.0,38.0,0
2004-04-03,1610612755,76ers,0.375,0.1,0.769,18.0,42.0,1610612752,Knicks,0.425,0.5,0.826,25.0,39.0,0
2004-04-02,1610612754,Pacers,0.39,0.1,0.885,17.0,52.0,1610612761,Raptors,0.347,0.091,0.846,15.0,38.0,1
2004-04-02,1610612750,Timberwolves,0.438,0.278,0.889,29.0,46.0,1610612764,Wizards,0.329,0.222,0.773,15.0,47.0,1
2004-04-02,1610612765,Pistons,0.4,0.5,0.808,20.0,41.0,1610612748,Heat,0.39,0.333,0.667,19.0,45.0,1
2004-04-02,1610612738,Celtics,0.526,0.333,0.684,24.0,40.0,1610612744,Warriors,0.456,0.538,0.645,23.0,38.0,1
2004-04-02,1610612741,Bulls,0.413,0.471,0.8,31.0,56.0,1610612746,Clippers,0.368,0.444,0.837,21.0,60.0,1
2004-04-02,1610612743,Nuggets,0.488,0.429,0.727,33.0,43.0,1610612745,Rockets,0.494,0.316,0.583,22.0,44.0,1
2004-04-02,1610612749,Bucks,0.475,0.462,0.781,23.0,37.0,1610612739,Cavaliers,0.513,0.333,0.692,26.0,39.0,1
2004-04-02,1610612762,Jazz,0.462,0.75,0.857,19.0,32.0,1610612759,Spurs,0.429,0.357,0.784,15.0,36.0,0
2004-04-02,1610612760,Thunder,0.447,0.35,0.786,24.0,35.0,1610612747,Lakers,0.557,0.643,0.833,25.0,33.0,0
2004-04-02,1610612751,Nets,0.6,0.538,0.85,32.0,36.0,1610612752,Knicks,0.4,0.154,0.778,15.0,28.0,1
2004-04-02,1610612753,Magic,0.378,0.375,0.76,15.0,47.0,1610612737,Hawks,0.425,0.333,0.722,15.0,37.0,0
2004-04-02,1610612763,Grizzlies,0.5,0.571,0.7,31.0,43.0,1610612756,Suns,0.482,0.5,0.824,24.0,41.0,1
2004-04-01,1610612747,Lakers,0.377,0.556,0.714,17.0,58.0,1610612745,Rockets,0.407,0.429,0.813,19.0,35.0,1
2004-04-01,1610612742,Mavericks,0.542,0.4,0.833,32.0,45.0,1610612758,Kings,0.477,0.4,0.818,25.0,45.0,1
2004-04-01,1610612755,76ers,0.383,0.308,0.8,14.0,45.0,1610612757,Trail Blazers,0.486,0.417,0.75,21.0,39.0,0
2004-03-31,1610612759,Spurs,0.575,0.429,0.739,20.0,38.0,1610612758,Kings,0.443,0.385,0.824,16.0,34.0,1
2004-03-31,1610612754,Pacers,0.563,0.45,0.667,31.0,46.0,1610612749,Bucks,0.373,0.429,0.696,18.0,36.0,1
2004-03-31,1610612750,Timberwolves,0.463,0.467,0.677,23.0,47.0,1610612760,Thunder,0.413,0.368,0.833,26.0,37.0,1
2004-03-31,1610612764,Wizards,0.341,0.409,0.78,12.0,46.0,1610612751,Nets,0.463,0.2,0.8,27.0,49.0,0
2004-03-31,1610612737,Hawks,0.361,0.345,0.818,21.0,55.0,1610612748,Heat,0.47,0.611,0.647,21.0,40.0,0
2004-03-31,1610612765,Pistons,0.481,0.389,0.692,29.0,34.0,1610612746,Clippers,0.513,0.2,0.909,23.0,40.0,1
2004-03-31,1610612738,Celtics,0.453,0.346,0.786,23.0,30.0,1610612757,Trail Blazers,0.608,0.286,0.684,26.0,44.0,0
2004-03-31,1610612761,Raptors,0.402,0.273,0.75,13.0,43.0,1610612744,Warriors,0.447,0.25,0.714,17.0,45.0,0
2004-03-31,1610612762,Jazz,0.524,0.571,0.613,26.0,37.0,1610612740,Pelicans,0.333,0.208,0.913,19.0,37.0,1
2004-03-31,1610612753,Magic,0.402,0.25,0.783,15.0,51.0,1610612741,Bulls,0.478,0.563,0.737,22.0,40.0,0
