,HOME_TEAM_ID,HOME_TEAM_NAME,2pointer_PCT_HOME,3pointer_PCT_HOME,FreeThrow_PCT_HOME,Assists_HOME,Rebounds_HOME,VISITOR_TEAM_ID,VISITOR_TEAM_NAME,2pointer_PCT_AWAY,3pointer_PCT_AWAY,FreeThrow_PCT_AWAY,Assists_AWAY,Rebounds_AWAY,HOME_TEAM_WINS
21700,1610612756,Suns,0.417,0.259,0.6920000000000001,26.0,55.0,1610612744,Warriors,0.506,0.433,0.708,25.0,39.0,0
21701,1610612746,Clippers,0.507,0.387,0.774,22.0,40.0,1610612742,Mavericks,0.442,0.355,0.778,24.0,44.0,1
21702,1610612755,76ers,0.4429999999999999,0.316,0.741,32.0,36.0,1610612751,Nets,0.64,0.516,0.879,36.0,36.0,0
21703,1610612764,Wizards,0.506,0.5,0.833,31.0,36.0,1610612766,Hornets,0.506,0.353,0.8640000000000001,21.0,37.0,1
21704,1610612739,Cavaliers,0.537,0.5,0.762,30.0,42.0,1610612753,Magic,0.384,0.3329999999999999,0.962,23.0,43.0,1
21705,1610612754,Pacers,0.4379999999999999,0.48,1.0,16.0,43.0,1610612761,Raptors,0.447,0.217,0.895,11.0,40.0,1
21706,1610612740,Pelicans,0.51,0.4379999999999999,0.882,30.0,35.0,1610612743,Nuggets,0.535,0.433,0.7140000000000001,31.0,50.0,0
21707,1610612760,Thunder,0.476,0.321,0.84,29.0,53.0,1610612749,Bucks,0.358,0.1669999999999999,0.6920000000000001,16.0,38.0,1
21708,1610612752,Knicks,0.472,0.261,0.625,26.0,54.0,1610612741,Bulls,0.376,0.222,0.913,22.0,37.0,1
21709,1610612759,Spurs,0.4379999999999999,0.524,0.778,22.0,46.0,1610612763,Grizzlies,0.3929999999999999,0.32,0.611,26.0,50.0,1
21710,1610612762,Jazz,0.527,0.565,0.789,21.0,47.0,1610612757,Trail Blazers,0.3979999999999999,0.231,0.882,10.0,29.0,1
21711,1610612744,Warriors,0.524,0.4379999999999999,0.792,33.0,40.0,1610612750,Timberwolves,0.4270000000000001,0.211,0.8079999999999999,22.0,50.0,1
21712,1610612758,Kings,0.444,0.545,0.8240000000000001,17.0,51.0,1610612742,Mavericks,0.4,0.2789999999999999,0.7859999999999999,21.0,39.0,1
21713,1610612750,Timberwolves,0.488,0.444,0.857,26.0,44.0,1610612757,Trail Blazers,0.442,0.344,0.88,24.0,35.0,1
21714,1610612752,Knicks,0.3879999999999999,0.28,0.84,20.0,32.0,1610612738,Celtics,0.556,0.324,0.6920000000000001,22.0,41.0,0
21715,1610612760,Thunder,0.4639999999999999,0.387,0.917,19.0,42.0,1610612766,Hornets,0.481,0.3670000000000001,0.875,20.0,37.0,0
21716,1610612747,Lakers,0.471,0.368,0.778,14.0,51.0,1610612763,Grizzlies,0.5,0.433,0.7140000000000001,29.0,33.0,1
21717,1610612749,Bucks,0.506,0.353,0.833,25.0,33.0,1610612742,Mavericks,0.521,0.389,0.95,25.0,30.0,0
21718,1610612759,Spurs,0.519,0.526,0.8640000000000001,26.0,42.0,1610612762,Jazz,0.483,0.375,0.615,24.0,36.0,1
21719,1610612740,Pelicans,0.407,0.3329999999999999,0.971,24.0,40.0,1610612741,Bulls,0.489,0.5,0.778,26.0,49.0,0
21720,1610612761,Raptors,0.541,0.316,0.789,25.0,37.0,1610612755,76ers,0.45,0.306,0.88,25.0,37.0,1
21721,1610612751,Nets,0.39,0.303,0.85,21.0,51.0,1610612737,Hawks,0.375,0.292,0.652,19.0,44.0,1
21722,1610612748,Heat,0.483,0.481,0.762,26.0,41.0,1610612743,Nuggets,0.506,0.25,0.852,25.0,40.0,0
21723,1610612739,Cavaliers,0.495,0.419,0.6970000000000001,29.0,56.0,1610612754,Pacers,0.457,0.39,0.9,32.0,46.0,1
21724,1610612744,Warriors,0.568,0.444,0.885,34.0,44.0,1610612764,Wizards,0.467,0.37,0.76,28.0,38.0,1
21725,1610612756,Suns,0.42,0.235,0.828,24.0,61.0,1610612745,Rockets,0.47,0.368,0.652,23.0,46.0,0
21726,1610612746,Clippers,0.551,0.44,0.8240000000000001,24.0,39.0,1610612747,Lakers,0.433,0.261,0.667,26.0,41.0,1
21727,1610612741,Bulls,0.471,0.4,1.0,25.0,40.0,1610612737,Hawks,0.444,0.3929999999999999,0.765,25.0,45.0,1
21728,1610612751,Nets,0.532,0.258,0.813,26.0,44.0,1610612753,Magic,0.495,0.4,0.733,26.0,42.0,1
21729,1610612750,Timberwolves,0.4479999999999999,0.3329999999999999,0.789,27.0,41.0,1610612758,Kings,0.564,0.579,0.727,27.0,40.0,0
21730,1610612757,Trail Blazers,0.467,0.405,0.935,21.0,41.0,1610612756,Suns,0.524,0.3,0.813,17.0,43.0,1
21731,1610612761,Raptors,0.451,0.519,0.657,23.0,53.0,1610612754,Pacers,0.414,0.423,0.81,19.0,42.0,1
21732,1610612766,Hornets,0.465,0.472,0.833,26.0,43.0,1610612743,Nuggets,0.5,0.485,0.727,32.0,49.0,1
21733,1610612739,Cavaliers,0.526,0.4479999999999999,0.563,30.0,49.0,1610612755,76ers,0.488,0.3329999999999999,0.737,26.0,42.0,1
21734,1610612738,Celtics,0.452,0.364,0.853,27.0,45.0,1610612753,Magic,0.408,0.4,0.96,28.0,48.0,1
21735,1610612749,Bucks,0.417,0.389,0.706,25.0,48.0,1610612765,Pistons,0.4539999999999999,0.233,0.625,25.0,54.0,1
21736,1610612763,Grizzlies,0.467,0.407,0.9,23.0,47.0,1610612742,Mavericks,0.382,0.353,0.8,15.0,38.0,1
21737,1610612740,Pelicans,0.484,0.303,0.789,28.0,45.0,1610612758,Kings,0.389,0.3,0.765,18.0,52.0,1
21738,1610612748,Heat,0.41,0.242,0.72,17.0,41.0,1610612752,Knicks,0.475,0.375,0.941,25.0,39.0,0
21739,1610612760,Thunder,0.407,0.286,0.852,21.0,46.0,1610612759,Spurs,0.435,0.3329999999999999,0.63,23.0,41.0,0
21740,1610612762,Jazz,0.4579999999999999,0.4,0.613,20.0,42.0,1610612764,Wizards,0.402,0.294,0.813,12.0,45.0,1
21741,1610612744,Warriors,0.4529999999999999,0.344,0.7140000000000001,27.0,43.0,1610612745,Rockets,0.374,0.324,0.7829999999999999,20.0,48.0,1
21742,1610612765,Pistons,0.419,0.389,0.647,20.0,53.0,1610612751,Nets,0.38,0.3229999999999999,0.75,17.0,46.0,1
21743,1610612741,Bulls,0.422,0.48,0.611,26.0,51.0,1610612739,Cavaliers,0.446,0.37,0.563,23.0,44.0,1
21744,1610612750,Timberwolves,0.483,0.476,0.767,30.0,40.0,1610612747,Lakers,0.476,0.3329999999999999,0.938,20.0,42.0,1
21745,1610612756,Suns,0.5329999999999999,0.304,0.542,24.0,43.0,1610612746,Clippers,0.55,0.545,0.706,20.0,39.0,0
21746,1610612757,Trail Blazers,0.478,0.3939999999999999,0.818,24.0,41.0,1610612745,Rockets,0.44,0.235,0.826,18.0,42.0,1
21747,1610612755,76ers,0.414,0.282,0.818,30.0,40.0,1610612737,Hawks,0.425,0.5,0.846,19.0,47.0,0
