,TEAM_NAME,SEASON,TEAM_ID,PTS_home,_2pointer_PCT_HOME,_3pointer_PCT_HOME,FreeThrow_PCT_HOME,Assists_HOME,Rebounds_HOME,HOME_TEAM_WINS,PTS_away,_2pointer_PCT_AWAY,_3pointer_PCT_AWAY,FreeThrow_PCT_AWAY,Assists_AWAY,Rebounds_AWAY,AWAY_TEAM_WINS
61,Celtics,2004,1610612738,4128.0,0.471,0.366,0.758,931.0,1725.0,27,4176.0,0.469,0.329,0.762,879.0,1622.0,18
62,Celtics,2005,1610612738,3947.0,0.464,0.352,0.749,879.0,1685.0,21,4086.0,0.474,0.371,0.756,837.0,1560.0,12
63,Celtics,2006,1610612738,3930.0,0.444,0.37,0.773,869.0,1662.0,12,3927.0,0.445,0.362,0.763,761.0,1647.0,12
64,Celtics,2007,1610612738,4115.0,0.482,0.364,0.767,1004.0,1732.0,35,4130.0,0.47,0.389,0.772,829.0,1713.0,31
65,Celtics,2008,1610612738,4287.0,0.496,0.411,0.768,1015.0,1712.0,35,3988.0,0.474,0.369,0.76,847.0,1743.0,27
66,Celtics,2009,1610612738,4114.0,0.491,0.334,0.745,1038.0,1555.0,24,4022.0,0.478,0.349,0.737,892.0,1610.0,26
67,Celtics,2010,1610612738,4080.0,0.504,0.363,0.747,1005.0,1558.0,33,3833.0,0.47,0.36,0.788,916.0,1623.0,23
68,Celtics,2012,1610612738,3940.0,0.48,0.355,0.755,951.0,1561.0,27,3878.0,0.453,0.365,0.798,892.0,1626.0,14
69,Celtics,2013,1610612738,3958.0,0.443,0.332,0.787,901.0,1770.0,16,3934.0,0.431,0.322,0.784,825.0,1715.0,9
70,Celtics,2014,1610612738,4158.0,0.444,0.333,0.769,1016.0,1822.0,21,4154.0,0.445,0.319,0.744,993.0,1773.0,19
71,Celtics,2015,1610612738,4348.0,0.437,0.33,0.785,1013.0,1885.0,28,4321.0,0.444,0.341,0.792,968.0,1798.0,20
72,Celtics,2016,1610612738,4490.0,0.457,0.377,0.821,1100.0,1772.0,30,4367.0,0.453,0.341,0.799,969.0,1669.0,23
73,Celtics,2017,1610612738,4431.0,0.455,0.374,0.768,1008.0,1895.0,28,4211.0,0.447,0.389,0.778,854.0,1795.0,28
74,Celtics,2018,1610612738,4678.0,0.474,0.364,0.812,1125.0,1889.0,28,4538.0,0.458,0.362,0.801,1030.0,1764.0,21
75,Clippers,2003,1610612746,3942.0,0.433,0.336,0.782,863.0,1770.0,18,3829.0,0.425,0.298,0.794,790.0,1795.0,10
76,Clippers,2004,1610612746,4062.0,0.474,0.331,0.771,1029.0,1790.0,27,3787.0,0.447,0.352,0.786,872.0,1645.0,10
77,Clippers,2005,1610612746,3983.0,0.469,0.332,0.78,934.0,1747.0,27,3987.0,0.463,0.348,0.796,774.0,1785.0,20
78,Clippers,2006,1610612746,3994.0,0.461,0.328,0.788,946.0,1689.0,25,3849.0,0.453,0.379,0.779,816.0,1683.0,15
79,Clippers,2007,1610612746,3793.0,0.438,0.274,0.772,928.0,1656.0,13,3899.0,0.439,0.362,0.788,804.0,1635.0,10
80,Clippers,2008,1610612746,3849.0,0.442,0.337,0.722,888.0,1629.0,11,3950.0,0.44,0.36,0.746,835.0,1638.0,8
81,Clippers,2009,1610612746,3953.0,0.465,0.331,0.736,967.0,1722.0,21,3896.0,0.45,0.327,0.711,843.0,1707.0,8
82,Clippers,2010,1610612746,4118.0,0.465,0.326,0.708,990.0,1765.0,23,3971.0,0.451,0.348,0.703,823.0,1691.0,9
83,Clippers,2012,1610612746,4269.0,0.493,0.366,0.739,1076.0,1705.0,32,4020.0,0.463,0.342,0.696,882.0,1708.0,24
84,Clippers,2013,1610612746,4542.0,0.486,0.345,0.737,1060.0,1813.0,34,4308.0,0.465,0.358,0.726,956.0,1713.0,23
85,Clippers,2014,1610612746,4346.0,0.471,0.371,0.713,1071.0,1787.0,30,4405.0,0.476,0.374,0.71,960.0,1708.0,26
86,Clippers,2015,1610612746,4297.0,0.468,0.369,0.711,968.0,1792.0,29,4272.0,0.464,0.362,0.702,905.0,1656.0,24
87,Clippers,2016,1610612746,4495.0,0.485,0.369,0.753,961.0,1778.0,29,4416.0,0.468,0.379,0.745,887.0,1750.0,22
88,Clippers,2017,1610612746,4498.0,0.477,0.349,0.739,950.0,1816.0,22,4439.0,0.468,0.353,0.74,882.0,1782.0,20
89,Clippers,2018,1610612746,4834.0,0.476,0.388,0.793,1060.0,1927.0,26,4608.0,0.468,0.387,0.785,910.0,1805.0,22
90,Grizzlies,2003,1610612763,4028.0,0.45,0.352,0.722,999.0,1810.0,31,3902.0,0.442,0.335,0.729,916.0,1618.0,19
91,Grizzlies,2004,1610612763,3838.0,0.449,0.339,0.734,839.0,1634.0,26,3823.0,0.448,0.371,0.764,877.0,1560.0,19
92,Grizzlies,2005,1610612763,3824.0,0.456,0.372,0.707,808.0,1684.0,30,3734.0,0.444,0.39,0.707,778.0,1529.0,19
93,Grizzlies,2006,1610612763,4326.0,0.475,0.368,0.764,847.0,1628.0,14,4005.0,0.453,0.341,0.759,833.0,1613.0,8
94,Grizzlies,2007,1610612763,4240.0,0.472,0.366,0.723,785.0,1708.0,14,4017.0,0.438,0.315,0.735,789.0,1707.0,8
95,Grizzlies,2008,1610612763,3905.0,0.46,0.368,0.758,713.0,1630.0,16,3793.0,0.449,0.342,0.753,710.0,1554.0,8
96,Grizzlies,2009,1610612763,4173.0,0.462,0.308,0.745,747.0,1824.0,23,4231.0,0.476,0.357,0.729,796.0,1742.0,17
97,Grizzlies,2010,1610612763,4218.0,0.493,0.321,0.762,850.0,1653.0,30,3977.0,0.45,0.336,0.737,841.0,1708.0,16
98,Grizzlies,2012,1610612763,3823.0,0.439,0.351,0.773,823.0,1812.0,32,3836.0,0.453,0.331,0.771,892.0,1692.0,24
99,Grizzlies,2013,1610612763,4046.0,0.472,0.358,0.743,886.0,1723.0,27,3838.0,0.459,0.346,0.729,906.0,1753.0,23
100,Grizzlies,2014,1610612763,4078.0,0.459,0.345,0.793,859.0,1813.0,31,3984.0,0.46,0.328,0.766,918.0,1677.0,24
101,Grizzlies,2015,1610612763,4176.0,0.443,0.356,0.793,860.0,1726.0,26,3950.0,0.441,0.299,0.77,837.0,1687.0,16
102,Grizzlies,2016,1610612763,4069.0,0.429,0.351,0.782,867.0,1810.0,24,4170.0,0.444,0.351,0.776,877.0,1697.0,19
103,Grizzlies,2017,1610612763,4109.0,0.442,0.344,0.77,916.0,1712.0,16,4036.0,0.447,0.358,0.794,851.0,1611.0,6
104,Grizzlies,2018,1610612763,4289.0,0.452,0.324,0.767,973.0,1760.0,21,4201.0,0.449,0.356,0.783,990.0,1666.0,12
105,Hawks,2003,1610612737,3943.0,0.441,0.335,0.779,832.0,1819.0,18,3668.0,0.427,0.305,0.765,816.0,1684.0,10
106,Hawks,2004,1610612737,3849.0,0.447,0.324,0.711,825.0,1768.0,9,3756.0,0.436,0.292,0.703,789.0,1667.0,4
107,Hawks,2005,1610612737,4068.0,0.465,0.352,0.752,836.0,1670.0,18,3904.0,0.445,0.358,0.741,789.0,1631.0,8
