,yearCombine,idPlayer,namePlayer,slugPosition,heightWOShoesInches,weightLBS,wingspanInches,reachStandingInches
265,2004,2592.0,James Jones,SF,79.25,218.0,86.5,107.5
266,2004,2549.0,Chris Kaman,C-PF,83.5,252.0,83.75,110.5
267,2004,2574.0,Jason Kapono,SG-SF,78.5,215.0,78.5,102.0
268,2004,12087.0,Jason Keep,C-PF,81.75,270.0,84.5,106.5
269,2004,12088.0,Bernard King,SG-PG,75.75,200.0,77.5,98.5
270,2004,2688.0,Brandin Knight,PG,71.75,190.0,78.0,95.5
271,2004,2594.0,Kyle Korver,SF,78.25,211.0,81.5,102.5
272,2004,2591.0,James Lang,C-PF,80.25,316.0,90.25,110.0
273,2004,12089.0,Donald Little,PF-C,81.5,229.0,87.0,97.0
274,2004,2658.0,Chris Marcus,C,84.0,334.0,92.0,114.0
275,2004,12090.0,Chris Massie,PF-C,78.5,259.0,85.0,106.5
276,2004,12091.0,Will McDonald,C-PF,81.5,258.0,87.5,109.5
277,2004,2545.0,Darko Milicic,PF,83.5,250.0,89.0,111.5
278,2004,12092.0,Jeff Newton,PF,80.0,199.0,85.0,106.0
279,2004,12093.0,Uche Nsonwu-Amadi,PF-C,79.75,246.0,87.75,106.5
280,2004,12094.0,Ugonna Okyekwe,SF,79.25,228.0,87.0,109.0
281,2004,101248.0,Marlon Parmer,PG,72.75,184.0,75.5,97.0
282,2004,12095.0,Stephane Pelle,PF-SF,79.0,246.0,86.0,107.0
283,2004,2632.0,Kirk Penney,SG-SF,77.0,218.0,77.25,97.0
284,2004,2750.0,Pavel Podkolzin,C,87.5,303.0,89.75,116.0
285,2004,2694.0,Josh Powell,PF-SF,80.0,227.0,85.0,107.5
286,2004,12096.0,Hollis Price,PG-SG,71.5,165.0,76.5,94.5
287,2004,2557.0,Luke Ridnour,PG,73.0,167.0,75.0,95.5
288,2004,12097.0,Joe Shipp,SG,76.0,224.0,82.0,103.0
289,2004,12098.0,Ron Slay,SF-PF,78.0,236.0,82.0,103.5
290,2004,2604.0,Theron Smith,PF-SF,78.5,234.0,82.25,104.5
291,2004,2596.0,Tommy Smith,PF-SF,81.0,200.0,86.5,107.5
292,2004,12099.0,Marvin Stone,C-PF,81.5,261.0,87.5,109.5
293,2004,2552.0,Michael Sweetney,PF,79.25,262.0,85.0,107.5
294,2004,2756.0,Sasha Vujacic,PG-SG,77.5,193.0,77.5,101.0
295,2004,2548.0,Dwyane Wade,SG-SF,75.75,212.0,82.75,102.0
296,2004,12101.0,Wayne Wallace,PF,79.25,187.0,86.0,108.0
297,2004,2575.0,Luke Walton,SF-PF,79.75,235.0,80.5,104.0
298,2004,2561.0,David West,PF-SF,80.25,226.0,88.25,108.25
299,2004,2590.0,Mo Williams,PG-SG,72.75,189.0,77.5,98.5
300,2004,12102.0,Wesley Wilson,C-PF,82.25,257.0,87.0,110.5
301,2004,12103.0,Doug Wrenn,SF-PF,77.75,220.0,91.5,100.5
302,2004,2583.0,Derrick Zimmerman,PG,73.0,190.0,81.0,96.25
303,2005,2754.0,Tony Allen,SG,75.5,214.0,81.0,102.0
304,2005,2772.0,Trevor Ariza,SG-SF,79.0,201.0,86.0,107.5
305,2005,2857.0,Andre Barrett,PG,68.75,171.0,73.0,92.0
306,2005,101138.0,Brandon Bass,PF,78.25,246.0,86.5,106.5
307,2005,2740.0,Andris Biedrins,C,,,,
308,2005,2800.0,Tony Bobbitt,SG,74.75,185.0,79.0,100.0
309,2005,12173.0,Brian Boddicker,SF-PF,79.5,230.0,82.0,105.5
310,2005,12174.0,Tim Bowers,PG-SG,72.5,181.0,81.0,98.0
311,2005,2810.0,Andre Brown,PF-C,80.0,236.0,83.0,107.0
312,2005,2766.0,Antonio Burks,PG,72.0,191.0,78.5,96.5
313,2005,2866.0,Jackie Butler,C,80.0,263.0,85.5,109.0
314,2005,12175.0,Aleksandar Capin,PG,72.0,176.0,73.5,94.0
315,2005,12176.0,Ales Chan,C,84.0,255.0,87.0,113.0
316,2005,2735.0,Josh Childress,SG-SF,77.75,196.0,83.0,105.0
317,2005,200555.0,TJ Cummings,SF,79.5,215.0,81.5,106.5
318,2005,2845.0,Erik Daniels,SF-PF,78.25,223.0,83.0,106.0
319,2005,2736.0,Luol Deng,SF,79.0,220.0,84.5,108.5
320,2005,12177.0,Marcus Douthit,C-PF,81.5,223.0,88.0,111.5
321,2005,2768.0,Chris Duhon,PG,72.0,193.0,78.5,98.0
322,2005,2823.0,John Edwards,C,83.25,264.0,88.5,113.0
323,2005,2765.0,Andre Emmett,SG-SF,75.5,216.0,81.0,100.0
324,2005,2824.0,Desmon Farmer,SG,76.5,214.0,80.5,103.0
325,2005,2784.0,Luis Flores,PG-SG,72.5,202.0,79.5,98.5
326,2005,2782.0,Matt Freije,SF-PF,80.25,234.0,85.0,108.5
327,2005,12178.0,Chris Garnett,C-PF,80.25,260.0,85.0,108.0
328,2005,101155.0,Ryan Gomes,SF-PF,78.5,248.0,86.0,106.5
329,2005,2732.0,Ben Gordon,PG-SG,73.0,192.0,80.5,99.0
330,2005,2734.0,Devin Harris,PG,73.75,170.0,79.5,98.5
331,2005,2730.0,Dwight Howard,PF-C,81.0,240.0,88.5,111.5
332,2005,12179.0,Rolando Howell,PF,79.5,229.0,84.5,107.0
333,2005,2743.0,Kris Humphries,PF,80.25,238.0,84.5,106.5
334,2005,2738.0,Andre Iguodala,SG-SF,77.75,217.0,83.0,105.5
335,2005,12180.0,Martin Iti,C-PF,80.5,233.0,89.0,111.5
336,2005,2739.0,Luke Jackson,SF-SG,78.0,212.0,80.5,103.0
337,2005,2744.0,Al Jefferson,PF-SF,80.5,263.0,86.5,110.0
338,2005,2865.0,Arthur Johnson,PF-C,79.0,262.0,87.0,109.0
339,2005,12181.0,Ivan Koljevic,PG,73.0,172.0,74.5,95.0
340,2005,12182.0,Herve Lamizana,SF-PF,79.5,210.0,85.5,107.0
341,2005,2778.0,Sergei Lishouk,PF-SF,82.25,244.0,84.0,109.5
342,2005,2733.0,Shaun Livingston,PG-SG,78.25,186.0,83.0,105.5
343,2005,12184.0,Jaime Lloreda,PF,78.75,247.0,81.5,107.0
344,2005,12000.0,Bryant Matthews,SF-SG,77.75,206.0,84.5,105.5
345,2005,12001.0,Marcus Melvin,SF-PF,78.75,241.0,84.0,105.5
346,2005,2822.0,Rich Melzer,PF-SF,79.5,229.0,86.0,107.0
347,2005,2777.0,Ricky Minard,PG-SG,75.25,198.0,79.0,101.5
348,2005,12003.0,Marcus Moore,PG-SG,76.0,202.0,81.0,101.5
349,2005,12002.0,James Moore,PF-SF,78.5,198.0,84.5,107.0
350,2005,12004.0,Michel Morandais,SG-SF,75.75,205.0,83.5,102.0
351,2005,2749.0,Jameer Nelson,PG,71.0,199.0,74.5,95.0
352,2005,12005.0,Misan Nikagbatse,SG-PG,75.5,223.0,82.0,102.0
353,2005,2731.0,Emeka Okafor,C-PF,80.75,257.0,88.0,110.5
354,2005,12006.0,Randall Orr,PF-SF,81.0,193.0,82.5,107.5
355,2005,12007.0,Dylan Page,SF,79.5,239.0,79.0,105.0
